epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,87.4293,0.52738,0.63149,0.00259,0.9397,0.93515,0.97732,0.71128,0.67948,0.75008,0.00638,0.0011684,0.0011684,0.0011684
44,89.4463,0.54848,0.59379,0.00293,0.9566,0.88175,0.97623,0.63652,0.84068,0.78664,0.00798,0.0011486,0.0011486,0.0011486
45,91.3943,0.56201,0.68844,0.00274,0.90991,0.88,0.95883,0.59722,0.88483,0.82085,0.00812,0.0011288,0.0011288,0.0011288
46,93.397,0.55873,0.6317,0.00271,0.87943,0.92,0.95803,0.6331,0.78595,0.79741,0.00717,0.001109,0.001109,0.001109
47,95.0961,0.49135,0.60933,0.00248,0.97768,0.87614,0.96253,0.66425,0.72717,0.74656,0.0066,0.0010892,0.0010892,0.0010892
48,96.8925,0.51537,0.5738,0.00272,0.9837,0.84,0.9518,0.68391,0.71313,0.72124,0.00649,0.0010694,0.0010694,0.0010694
49,98.7378,0.54695,0.58061,0.00284,0.97803,0.9,0.96242,0.6855,0.68516,0.64622,0.00625,0.0010496,0.0010496,0.0010496
50,100.648,0.55942,0.56387,0.00274,0.92111,0.93416,0.97337,0.60516,0.83991,0.68851,0.00753,0.0010298,0.0010298,0.0010298
51,102.649,0.52403,0.54702,0.0028,0.87382,0.96962,0.97492,0.72814,0.65319,0.57963,0.006,0.00101,0.00101,0.00101
52,104.578,0.53337,0.55084,0.00291,0.87319,0.96411,0.97623,0.73799,0.66364,0.56388,0.00614,0.0009902,0.0009902,0.0009902
53,106.581,0.54298,0.53852,0.00278,0.92142,0.93805,0.97365,0.71037,0.6955,0.56585,0.00625,0.0009704,0.0009704,0.0009704
54,108.521,0.5267,0.52846,0.0029,0.90399,0.96,0.97604,0.70909,0.69535,0.56125,0.0063,0.0009506,0.0009506,0.0009506
55,110.414,0.48572,0.46043,0.00268,0.92212,0.94737,0.97569,0.65903,0.76967,0.60608,0.0071,0.0009308,0.0009308,0.0009308
56,112.32,0.48191,0.45722,0.00234,0.93958,0.9332,0.97744,0.6235,0.82386,0.63954,0.00757,0.000911,0.000911,0.000911
57,114.262,0.53343,0.5549,0.00313,0.90682,0.97328,0.97991,0.6841,0.72687,0.55773,0.00672,0.0008912,0.0008912,0.0008912
58,116.366,0.54386,0.46891,0.00283,0.97159,0.92,0.97917,0.67011,0.73352,0.5717,0.00669,0.0008714,0.0008714,0.0008714
59,118.471,0.5453,0.48674,0.00274,0.92356,0.96666,0.9793,0.62802,0.80693,0.57285,0.00723,0.0008516,0.0008516,0.0008516
60,120.456,0.4952,0.44898,0.00226,0.93577,0.96,0.97662,0.68078,0.72061,0.54297,0.00663,0.0008318,0.0008318,0.0008318
61,122.656,0.48503,0.48721,0.00249,0.95909,0.93789,0.97789,0.69411,0.71285,0.53112,0.00651,0.000812,0.000812,0.000812
62,124.575,0.48201,0.4842,0.00246,0.92017,0.94,0.97925,0.65062,0.78151,0.54056,0.00694,0.0007922,0.0007922,0.0007922
63,126.686,0.43556,0.44713,0.00225,0.92914,0.92,0.97587,0.69652,0.70882,0.51617,0.00641,0.0007724,0.0007724,0.0007724
64,128.754,0.4309,0.43287,0.00224,0.96264,0.92,0.97833,0.68658,0.70692,0.50198,0.00648,0.0007526,0.0007526,0.0007526
65,131.274,0.45496,0.44125,0.00221,0.97951,0.95605,0.98312,0.70518,0.69478,0.47402,0.00635,0.0007328,0.0007328,0.0007328
66,133.274,0.45544,0.38347,0.00246,0.9791,0.93683,0.98255,0.73242,0.6579,0.4645,0.00607,0.000713,0.000713,0.000713
67,135.259,0.52885,0.42348,0.00288,0.97861,0.91501,0.98038,0.73082,0.66451,0.46967,0.00608,0.0006932,0.0006932,0.0006932
68,137.246,0.47554,0.43178,0.0026,0.92392,0.97157,0.98299,0.68107,0.70543,0.47389,0.00641,0.0006734,0.0006734,0.0006734
69,139.636,0.52395,0.41813,0.00277,0.99886,0.9,0.98394,0.6817,0.68437,0.46777,0.00627,0.0006536,0.0006536,0.0006536
70,141.914,0.43797,0.3802,0.00227,0.97312,0.9,0.97976,0.70849,0.65203,0.45768,0.00599,0.0006338,0.0006338,0.0006338
71,144.454,0.48051,0.39837,0.00246,0.99418,0.94,0.98607,0.70484,0.69422,0.44129,0.00642,0.000614,0.000614,0.000614
72,146.828,0.41372,0.36941,0.00219,0.97951,0.95599,0.98669,0.70075,0.74305,0.45227,0.00682,0.0005942,0.0005942,0.0005942
73,149.33,0.47176,0.41917,0.00239,0.97529,0.98,0.98753,0.68725,0.78448,0.4432,0.00718,0.0005744,0.0005744,0.0005744
74,151.336,0.44502,0.38189,0.00232,0.97969,0.96469,0.98931,0.68551,0.76007,0.43724,0.007,0.0005546,0.0005546,0.0005546
75,153.342,0.39167,0.38343,0.00198,0.97994,0.97717,0.98975,0.67691,0.76674,0.43102,0.0071,0.0005348,0.0005348,0.0005348
76,155.317,0.40597,0.35531,0.00205,0.99912,0.94,0.98919,0.67143,0.79021,0.4401,0.00732,0.000515,0.000515,0.000515
77,157.431,0.41011,0.34344,0.00202,0.96045,0.97147,0.98752,0.68302,0.7658,0.4427,0.00705,0.0004952,0.0004952,0.0004952
78,159.412,0.41685,0.38151,0.002,0.91662,0.98,0.98379,0.68813,0.7506,0.4528,0.0069,0.0004754,0.0004754,0.0004754
79,161.462,0.38469,0.37696,0.00179,0.99524,0.92,0.98654,0.66489,0.76546,0.44907,0.00696,0.0004556,0.0004556,0.0004556
80,163.521,0.36524,0.36323,0.00193,0.97374,0.92,0.98357,0.65709,0.76337,0.46094,0.00693,0.0004358,0.0004358,0.0004358
81,165.574,0.38844,0.38229,0.00202,0.97916,0.93985,0.98526,0.68382,0.75007,0.44345,0.00685,0.000416,0.000416,0.000416
82,167.556,0.42004,0.35959,0.00212,0.95947,0.94704,0.98514,0.68958,0.7413,0.43876,0.0068,0.0003962,0.0003962,0.0003962
83,169.544,0.44742,0.35348,0.00233,0.94211,0.96,0.98464,0.69866,0.72556,0.43101,0.00666,0.0003764,0.0003764,0.0003764
84,171.673,0.34674,0.3378,0.0018,0.94202,0.97491,0.98533,0.69356,0.72491,0.42806,0.00663,0.0003566,0.0003566,0.0003566
85,173.892,0.39515,0.34958,0.00198,0.95613,0.98,0.98667,0.6928,0.73197,0.41849,0.0067,0.0003368,0.0003368,0.0003368
86,175.94,0.40435,0.32112,0.00195,0.96574,0.98,0.98689,0.68828,0.71348,0.40899,0.00656,0.000317,0.000317,0.000317
87,177.932,0.37508,0.33991,0.00209,0.95582,0.98,0.98585,0.71164,0.68258,0.3987,0.00627,0.0002972,0.0002972,0.0002972
88,180.109,0.39573,0.36623,0.00204,0.95826,0.98,0.98441,0.72413,0.66703,0.39743,0.00613,0.0002774,0.0002774,0.0002774
89,182.058,0.36384,0.32163,0.00182,0.95334,0.98,0.98543,0.71119,0.66805,0.39495,0.00613,0.0002576,0.0002576,0.0002576
90,184.194,0.36806,0.36559,0.00181,0.95587,0.98,0.98482,0.70668,0.66462,0.39707,0.00608,0.0002378,0.0002378,0.0002378
91,188.447,0.30473,0.39801,0.00174,0.97563,0.98,0.98571,0.71539,0.65003,0.39118,0.00596,0.000218,0.000218,0.000218
92,190.622,0.3017,0.38513,0.00187,0.95099,0.98,0.98531,0.71724,0.64611,0.39026,0.00592,0.0001982,0.0001982,0.0001982
93,192.663,0.26664,0.36136,0.0015,0.94114,0.95943,0.98249,0.71553,0.6509,0.40876,0.006,0.0001784,0.0001784,0.0001784
94,194.852,0.30522,0.3581,0.00175,0.92107,0.96,0.98042,0.7191,0.66101,0.42287,0.0061,0.0001586,0.0001586,0.0001586
95,197.156,0.28693,0.36075,0.00182,0.92407,0.97365,0.98004,0.71542,0.65761,0.42731,0.0061,0.0001388,0.0001388,0.0001388
96,199.124,0.29208,0.34826,0.00179,0.92449,0.97943,0.97947,0.69628,0.66533,0.42519,0.00617,0.000119,0.000119,0.000119
97,201.055,0.29694,0.37183,0.00174,0.91797,0.98,0.9793,0.69473,0.65961,0.41815,0.00612,9.92e-05,9.92e-05,9.92e-05
98,202.953,0.28653,0.33385,0.00177,0.92038,0.98,0.98022,0.70249,0.65306,0.41039,0.00605,7.94e-05,7.94e-05,7.94e-05
99,204.855,0.30219,0.34049,0.00186,0.94095,0.95614,0.98228,0.7102,0.65002,0.39303,0.00603,5.96e-05,5.96e-05,5.96e-05
100,206.835,0.27595,0.33085,0.00172,0.94204,0.97535,0.98216,0.71086,0.65047,0.39441,0.00601,3.98e-05,3.98e-05,3.98e-05
