epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,39.515,0.65847,0.93108,0.96332,0.99403,1,0.995,0.75112,0.94468,1.17213,0.91635,0.0011684,0.0011684,0.0011684
44,40.2006,0.64083,0.9495,0.92626,0.99472,1,0.995,0.73381,0.90272,0.98401,0.90528,0.0011486,0.0011486,0.0011486
45,40.9594,0.5914,0.88885,0.89535,0.99649,1,0.995,0.70817,0.91942,1.02202,0.92218,0.0011288,0.0011288,0.0011288
46,41.7052,0.70577,0.96356,0.96625,0.99651,1,0.995,0.70114,0.84242,0.98284,0.90022,0.001109,0.001109,0.001109
47,42.5226,0.63615,0.87158,0.93577,0.99651,1,0.995,0.70114,0.84242,0.98284,0.90022,0.0010892,0.0010892,0.0010892
48,43.1662,0.56938,0.87588,0.91009,0.9964,1,0.995,0.69805,0.78757,0.90985,0.89306,0.0010694,0.0010694,0.0010694
49,43.8607,0.64119,0.82685,0.93662,0.99615,1,0.995,0.67435,0.74881,0.82106,0.90131,0.0010496,0.0010496,0.0010496
50,44.5677,0.65835,1.07979,0.98939,0.9967,1,0.995,0.68766,0.83806,0.87773,0.91107,0.0010298,0.0010298,0.0010298
51,45.3332,0.56778,0.79703,0.87692,0.9967,1,0.995,0.68766,0.83806,0.87773,0.91107,0.00101,0.00101,0.00101
52,46.0886,0.60892,0.86841,0.93099,0.99657,1,0.995,0.73468,0.90526,0.87508,0.90776,0.0009902,0.0009902,0.0009902
53,46.7537,0.59672,0.81925,0.93431,0.9963,1,0.995,0.71966,0.94063,0.89122,0.9168,0.0009704,0.0009704,0.0009704
54,47.4031,0.64087,0.84416,0.9466,0.99592,1,0.995,0.71645,0.95956,0.89542,0.9174,0.0009506,0.0009506,0.0009506
55,48.0517,0.5989,0.78713,0.9378,0.99592,1,0.995,0.71645,0.95956,0.89542,0.9174,0.0009308,0.0009308,0.0009308
56,48.7092,0.59183,0.78588,0.94292,0.99576,1,0.995,0.70176,0.97346,0.89119,0.92969,0.000911,0.000911,0.000911
57,49.3921,0.56862,0.79572,0.91751,0.99585,1,0.995,0.70114,0.97851,0.87102,0.94238,0.0008912,0.0008912,0.0008912
58,50.0547,0.53798,0.73858,0.89302,0.99638,1,0.995,0.68216,0.99803,0.88958,0.94991,0.0008714,0.0008714,0.0008714
59,50.7047,0.61981,0.82242,0.9667,0.99638,1,0.995,0.68216,0.99803,0.88958,0.94991,0.0008516,0.0008516,0.0008516
60,51.4048,0.56097,0.79813,0.93237,0.99635,1,0.995,0.7286,1.07327,0.88736,0.96902,0.0008318,0.0008318,0.0008318
61,52.1495,0.54386,0.80305,0.89851,0.99677,1,0.995,0.74178,1.0783,0.81891,0.96441,0.000812,0.000812,0.000812
62,52.8277,0.52511,0.76626,0.88983,0.99687,1,0.995,0.72419,1.04868,0.8459,0.95046,0.0007922,0.0007922,0.0007922
63,53.5629,0.55966,0.73773,0.88484,0.99687,1,0.995,0.72419,1.04868,0.8459,0.95046,0.0007724,0.0007724,0.0007724
64,54.3183,0.50304,0.71159,0.89317,0.99624,1,0.995,0.71865,1.02735,0.83353,0.93497,0.0007526,0.0007526,0.0007526
65,55.0866,0.54967,0.71329,0.93893,0.99684,1,0.995,0.72146,1.02785,0.7939,0.93673,0.0007328,0.0007328,0.0007328
66,55.8508,0.62529,0.77219,0.9533,0.99673,1,0.995,0.69778,1.03873,0.81025,0.94344,0.000713,0.000713,0.000713
67,56.6638,0.58984,0.71924,0.90135,0.99673,1,0.995,0.69778,1.03873,0.81025,0.94344,0.0006932,0.0006932,0.0006932
68,57.565,0.61568,0.74175,0.91017,0.99682,1,0.995,0.7155,1.04986,0.79664,0.94,0.0006734,0.0006734,0.0006734
69,58.2749,0.51109,0.65088,0.88068,0.99685,1,0.995,0.7403,1.07682,0.84809,0.93871,0.0006536,0.0006536,0.0006536
70,59.0887,0.53891,0.67105,0.8611,0.9947,1,0.995,0.7385,1.07803,0.83141,0.92606,0.0006338,0.0006338,0.0006338
71,59.9777,0.5754,0.74788,0.89207,0.9947,1,0.995,0.7385,1.07803,0.83141,0.92606,0.000614,0.000614,0.000614
72,60.7973,0.49592,0.67911,0.89532,0.99528,1,0.995,0.72872,1.10222,0.81347,0.92957,0.0005942,0.0005942,0.0005942
73,61.5063,0.57009,0.70884,0.93834,0.99552,1,0.995,0.74441,1.1394,0.83213,0.94138,0.0005744,0.0005744,0.0005744
74,62.2786,0.47302,0.72728,0.8695,0.99687,1,0.995,0.75201,1.143,0.79897,0.95333,0.0005546,0.0005546,0.0005546
75,62.9811,0.50427,0.65762,0.90252,0.99687,1,0.995,0.75201,1.143,0.79897,0.95333,0.0005348,0.0005348,0.0005348
76,63.6676,0.55292,0.62488,0.89984,0.99706,1,0.995,0.73621,1.12107,0.78483,0.96195,0.000515,0.000515,0.000515
77,64.3669,0.5558,0.66592,0.90599,0.9973,1,0.995,0.7304,1.12182,0.77933,0.97482,0.0004952,0.0004952,0.0004952
78,65.1297,0.50826,0.62643,0.91003,0.9973,1,0.995,0.72146,1.11693,0.81926,0.97852,0.0004754,0.0004754,0.0004754
79,65.8477,0.60348,0.7317,0.98942,0.9973,1,0.995,0.72146,1.11693,0.81926,0.97852,0.0004556,0.0004556,0.0004556
80,66.5618,0.48779,0.72813,0.90011,0.99742,1,0.995,0.74311,1.13861,0.86518,0.98467,0.0004358,0.0004358,0.0004358
81,67.2532,0.51705,0.6563,0.88251,0.99772,1,0.995,0.74125,1.13747,0.84246,0.98535,0.000416,0.000416,0.000416
82,67.9495,0.40029,0.6534,0.83978,0.99765,1,0.995,0.73359,1.15309,0.84752,0.99166,0.0003962,0.0003962,0.0003962
83,68.6286,0.52055,0.68637,0.90389,0.99765,1,0.995,0.73359,1.15309,0.84752,0.99166,0.0003764,0.0003764,0.0003764
84,69.3184,0.48593,0.60724,0.86817,0.9972,1,0.995,0.74157,1.15495,0.8228,0.98583,0.0003566,0.0003566,0.0003566
85,70.0714,0.52573,0.6114,0.89786,0.99704,1,0.995,0.74358,1.15104,0.78904,0.97798,0.0003368,0.0003368,0.0003368
86,70.8419,0.47245,0.62259,0.84872,0.99669,1,0.995,0.74666,1.14394,0.73254,0.97265,0.000317,0.000317,0.000317
87,71.6582,0.48821,0.67544,0.88285,0.99669,1,0.995,0.74666,1.14394,0.73254,0.97265,0.0002972,0.0002972,0.0002972
